sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
0 , 2023-07-05 09:58:15.309972 , 0 , 0 , 0 , 0
1 , 2023-07-05 09:58:19.840119 , 0 , 0 , 0 , 0
2 , 2023-07-05 09:58:23.852646 , 0 , 0 , 0 , 0
3 , 2023-07-05 09:58:27.816352 , 0 , 0 , 0 , 0
4 , 2023-07-05 09:58:31.779510 , 0 , 0 , 0 , 0
5 , 2023-07-05 09:58:35.790573 , 0 , 0 , 0 , 0
6 , 2023-07-05 09:58:39.741621 , 0 , 0 , 0 , 0
7 , 2023-07-05 09:58:43.742928 , 0 , 0 , 0 , 0
8 , 2023-07-05 09:58:47.696864 , 0 , 0 , 0 , 0
9 , 2023-07-05 09:58:51.666707 , 0 , 0 , 0 , 0
10 , 2023-07-05 09:58:55.628922 , 0 , 0 , 0 , 0
11 , 2023-07-05 09:58:59.592802 , 0 , 0 , 0 , 0
12 , 2023-07-05 09:59:03.581976 , 0 , 0 , 0 , 0
13 , 2023-07-05 09:59:07.542807 , 0 , 0 , 0 , 0
14 , 2023-07-05 09:59:11.521497 , 0 , 0 , 0 , 0
15 , 2023-07-05 09:59:15.506228 , 0 , 0 , 0 , 0
16 , 2023-07-05 09:59:19.568832 , 0 , 0 , 0 , 0
17 , 2023-07-05 09:59:23.605337 , 0 , 0 , 0 , 0
18 , 2023-07-05 09:59:27.616973 , 0 , 0 , 0 , 0
19 , 2023-07-05 09:59:31.621632 , 0 , 0 , 0 , 0
20 , 2023-07-05 09:59:35.638568 , 0 , 0 , 0 , 0
21 , 2023-07-05 09:59:39.719764 , 1 , 0 , 1 , 0
22 , 2023-07-05 09:59:43.758206 , 0 , 0 , 1 , 0
23 , 2023-07-05 09:59:47.874723 , 0 , 0 , 1 , 0
24 , 2023-07-05 09:59:51.929713 , 0 , 0 , 1 , 0
25 , 2023-07-05 09:59:55.948023 , 0 , 0 , 1 , 0
26 , 2023-07-05 09:59:59.986420 , 0 , 0 , 1 , 0
27 , 2023-07-05 10:00:04.007353 , 0 , 0 , 1 , 0
28 , 2023-07-05 10:00:08.762288 , 0 , 0 , 1 , 0
29 , 2023-07-05 10:00:12.767698 , 0 , 0 , 1 , 0
30 , 2023-07-05 10:00:16.840170 , 0 , 0 , 1 , 0
31 , 2023-07-05 10:00:20.863518 , 0 , 1 , 1 , 1
32 , 2023-07-05 10:00:24.902806 , 0 , 3 , 1 , 4
33 , 2023-07-05 10:00:29.058742 , 0 , 2 , 1 , 6
34 , 2023-07-05 10:00:33.291243 , 0 , 0 , 1 , 6
35 , 2023-07-05 10:00:38.961666 , 0 , 0 , 1 , 6
36 , 2023-07-05 10:00:43.262776 , 1 , 0 , 2 , 6
37 , 2023-07-05 10:00:48.366396 , 0 , 0 , 2 , 6
38 , 2023-07-05 10:00:53.423514 , 0 , 0 , 2 , 6
39 , 2023-07-05 10:00:58.715287 , 0 , 0 , 2 , 6
40 , 2023-07-05 10:01:03.791107 , 0 , 0 , 2 , 6
41 , 2023-07-05 10:01:08.914390 , 0 , 0 , 2 , 6
42 , 2023-07-05 10:01:13.782646 , 1 , 0 , 3 , 6
43 , 2023-07-05 10:01:18.438319 , 0 , 0 , 3 , 6
44 , 2023-07-05 10:01:22.616670 , 2 , 0 , 5 , 6
