sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
0 , 2023-07-05 11:21:04.489081 , 0 , 0 , 0 , 0
1 , 2023-07-05 11:21:06.493602 , 0 , 0 , 0 , 0
2 , 2023-07-05 11:21:08.028171 , 0 , 0 , 0 , 0
3 , 2023-07-05 11:21:09.506155 , 0 , 0 , 0 , 0
4 , 2023-07-05 11:21:10.972753 , 0 , 0 , 0 , 0
5 , 2023-07-05 11:21:12.453887 , 0 , 0 , 0 , 0
6 , 2023-07-05 11:21:13.924277 , 0 , 0 , 0 , 0
7 , 2023-07-05 11:21:15.390223 , 0 , 0 , 0 , 0
8 , 2023-07-05 11:21:16.873399 , 0 , 0 , 0 , 0
9 , 2023-07-05 11:21:18.335571 , 0 , 0 , 0 , 0
10 , 2023-07-05 11:21:19.785145 , 0 , 0 , 0 , 0
11 , 2023-07-05 11:21:21.250712 , 0 , 0 , 0 , 0
12 , 2023-07-05 11:21:22.715125 , 0 , 0 , 0 , 0
13 , 2023-07-05 11:21:24.221344 , 0 , 0 , 0 , 0
14 , 2023-07-05 11:21:25.722897 , 0 , 0 , 0 , 0
15 , 2023-07-05 11:21:27.235342 , 0 , 0 , 0 , 0
16 , 2023-07-05 11:21:28.736678 , 0 , 0 , 0 , 0
17 , 2023-07-05 11:21:30.241584 , 0 , 0 , 0 , 0
18 , 2023-07-05 11:21:31.735961 , 0 , 0 , 0 , 0
19 , 2023-07-05 11:21:33.229226 , 0 , 0 , 0 , 0
20 , 2023-07-05 11:21:34.749812 , 0 , 0 , 0 , 0
21 , 2023-07-05 11:21:36.280412 , 1 , 0 , 1 , 0
22 , 2023-07-05 11:21:37.775011 , 0 , 0 , 1 , 0
23 , 2023-07-05 11:21:39.277156 , 0 , 0 , 1 , 0
24 , 2023-07-05 11:21:40.796921 , 0 , 0 , 1 , 0
25 , 2023-07-05 11:21:42.321977 , 0 , 0 , 1 , 0
26 , 2023-07-05 11:21:43.859608 , 0 , 0 , 1 , 0
27 , 2023-07-05 11:21:45.383256 , 0 , 0 , 1 , 0
28 , 2023-07-05 11:21:46.919466 , 0 , 0 , 1 , 0
29 , 2023-07-05 11:21:48.416238 , 0 , 0 , 1 , 0
30 , 2023-07-05 11:21:49.935598 , 0 , 0 , 1 , 0
31 , 2023-07-05 11:21:51.435490 , 0 , 1 , 1 , 1
32 , 2023-07-05 11:21:52.986291 , 0 , 2 , 1 , 3
33 , 2023-07-05 11:21:54.532752 , 0 , 1 , 1 , 4
34 , 2023-07-05 11:21:56.112357 , 0 , 0 , 1 , 4
35 , 2023-07-05 11:21:57.706743 , 0 , 0 , 1 , 4
36 , 2023-07-05 11:21:59.317578 , 1 , 0 , 2 , 4
37 , 2023-07-05 11:22:00.951188 , 0 , 0 , 2 , 4
38 , 2023-07-05 11:22:02.520645 , 0 , 0 , 2 , 4
39 , 2023-07-05 11:22:04.117383 , 0 , 0 , 2 , 4
40 , 2023-07-05 11:22:05.722771 , 0 , 0 , 2 , 4
41 , 2023-07-05 11:22:07.338663 , 0 , 0 , 2 , 4
42 , 2023-07-05 11:22:08.977507 , 1 , 0 , 3 , 4
43 , 2023-07-05 11:22:10.571712 , 0 , 0 , 3 , 4
44 , 2023-07-05 11:22:12.212023 , 2 , 0 , 5 , 4
45 , 2023-07-05 11:22:13.825915 , 0 , 0 , 5 , 4
46 , 2023-07-05 11:22:15.436268 , 0 , 0 , 5 , 4
47 , 2023-07-05 11:22:16.986756 , 0 , 0 , 5 , 4
48 , 2023-07-05 11:22:18.516416 , 0 , 0 , 5 , 4
49 , 2023-07-05 11:22:20.029891 , 0 , 0 , 5 , 4
50 , 2023-07-05 11:22:21.548209 , 0 , 0 , 5 , 4
