sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
0 , 2023-07-05 11:42:28.305864 , 0 , 0 , 0 , 0
1 , 2023-07-05 11:42:31.163803 , 0 , 0 , 0 , 0
2 , 2023-07-05 11:42:33.609223 , 0 , 0 , 0 , 0
3 , 2023-07-05 11:42:36.043320 , 0 , 0 , 0 , 0
4 , 2023-07-05 11:42:38.282001 , 0 , 0 , 0 , 0
5 , 2023-07-05 11:42:40.524973 , 0 , 0 , 0 , 0
6 , 2023-07-05 11:42:42.747125 , 0 , 0 , 0 , 0
7 , 2023-07-05 11:42:45.002561 , 0 , 0 , 0 , 0
8 , 2023-07-05 11:42:47.220545 , 0 , 0 , 0 , 0
9 , 2023-07-05 11:42:49.432033 , 0 , 0 , 0 , 0
10 , 2023-07-05 11:42:51.636369 , 0 , 0 , 0 , 0
11 , 2023-07-05 11:42:54.072370 , 0 , 0 , 0 , 0
12 , 2023-07-05 11:42:56.357612 , 0 , 0 , 0 , 0
13 , 2023-07-05 11:42:59.256208 , 0 , 0 , 0 , 0
14 , 2023-07-05 11:43:01.638125 , 0 , 0 , 0 , 0
15 , 2023-07-05 11:43:03.919875 , 0 , 0 , 0 , 0
16 , 2023-07-05 11:43:06.160148 , 0 , 0 , 0 , 0
17 , 2023-07-05 11:43:08.393946 , 0 , 0 , 0 , 0
18 , 2023-07-05 11:43:10.599783 , 0 , 0 , 0 , 0
19 , 2023-07-05 11:43:12.806827 , 0 , 0 , 0 , 0
20 , 2023-07-05 11:43:15.021811 , 0 , 0 , 0 , 0
21 , 2023-07-05 11:43:17.258324 , 1 , 0 , 1 , 0
22 , 2023-07-05 11:43:19.471524 , 0 , 0 , 1 , 0
23 , 2023-07-05 11:43:21.695542 , 0 , 0 , 1 , 0
24 , 2023-07-05 11:43:23.951760 , 0 , 0 , 1 , 0
25 , 2023-07-05 11:43:26.196556 , 0 , 1 , 1 , 1
26 , 2023-07-05 11:43:28.448493 , 0 , 0 , 1 , 1
27 , 2023-07-05 11:43:30.688528 , 0 , 0 , 1 , 1
28 , 2023-07-05 11:43:32.932935 , 0 , 0 , 1 , 1
29 , 2023-07-05 11:43:35.723975 , 0 , 0 , 1 , 1
30 , 2023-07-05 11:43:37.981381 , 0 , 0 , 1 , 1
31 , 2023-07-05 11:43:40.190721 , 0 , 1 , 1 , 2
32 , 2023-07-05 11:43:42.410186 , 0 , 2 , 1 , 4
33 , 2023-07-05 11:43:44.677863 , 0 , 1 , 1 , 5
34 , 2023-07-05 11:43:46.988067 , 0 , 0 , 1 , 5
35 , 2023-07-05 11:43:49.307936 , 0 , 0 , 1 , 5
36 , 2023-07-05 11:43:51.619283 , 1 , 0 , 2 , 5
37 , 2023-07-05 11:43:53.944973 , 0 , 0 , 2 , 5
38 , 2023-07-05 11:43:56.229732 , 0 , 0 , 2 , 5
39 , 2023-07-05 11:43:58.525764 , 0 , 0 , 2 , 5
40 , 2023-07-05 11:44:00.803842 , 0 , 0 , 2 , 5
41 , 2023-07-05 11:44:03.064414 , 0 , 0 , 2 , 5
42 , 2023-07-05 11:44:05.348217 , 1 , 0 , 3 , 5
43 , 2023-07-05 11:44:07.597814 , 0 , 0 , 3 , 5
44 , 2023-07-05 11:44:09.855825 , 2 , 0 , 5 , 5
45 , 2023-07-05 11:44:12.117827 , 0 , 0 , 5 , 5
46 , 2023-07-05 11:44:14.372808 , 0 , 0 , 5 , 5
47 , 2023-07-05 11:44:16.626632 , 0 , 0 , 5 , 5
48 , 2023-07-05 11:44:18.900152 , 0 , 0 , 5 , 5
49 , 2023-07-05 11:44:21.099884 , 0 , 0 , 5 , 5
50 , 2023-07-05 11:44:23.304856 , 0 , 0 , 5 , 5
51 , 2023-07-05 11:44:25.518791 , 0 , 0 , 5 , 5
52 , 2023-07-05 11:44:27.725748 , 0 , 0 , 5 , 5
53 , 2023-07-05 11:44:29.928747 , 0 , 0 , 5 , 5
54 , 2023-07-05 11:44:32.112389 , 0 , 0 , 5 , 5
55 , 2023-07-05 11:44:34.303618 , 0 , 0 , 5 , 5
56 , 2023-07-05 11:44:36.506040 , 0 , 0 , 5 , 5
57 , 2023-07-05 11:44:38.706291 , 0 , 0 , 5 , 5
58 , 2023-07-05 11:44:40.930403 , 0 , 0 , 5 , 5
59 , 2023-07-05 11:44:43.178955 , 0 , 0 , 5 , 5
60 , 2023-07-05 11:44:45.406338 , 0 , 0 , 5 , 5
61 , 2023-07-05 11:44:47.623401 , 1 , 0 , 6 , 5
62 , 2023-07-05 11:44:49.811918 , 0 , 0 , 6 , 5
63 , 2023-07-05 11:44:51.963510 , 0 , 0 , 6 , 5
64 , 2023-07-05 11:44:54.138922 , 0 , 0 , 6 , 5
65 , 2023-07-05 11:44:56.333750 , 0 , 0 , 6 , 5
66 , 2023-07-05 11:44:58.528490 , 0 , 0 , 6 , 5
67 , 2023-07-05 11:45:00.740300 , 0 , 0 , 6 , 5
68 , 2023-07-05 11:45:02.940756 , 0 , 0 , 6 , 5
69 , 2023-07-05 11:45:05.149479 , 0 , 0 , 6 , 5
70 , 2023-07-05 11:45:07.353700 , 0 , 0 , 6 , 5
71 , 2023-07-05 11:45:09.561322 , 0 , 0 , 6 , 5
72 , 2023-07-05 11:45:11.747206 , 0 , 0 , 6 , 5
73 , 2023-07-05 11:45:13.947643 , 0 , 0 , 6 , 5
74 , 2023-07-05 11:45:16.194218 , 0 , 0 , 6 , 5
75 , 2023-07-05 11:45:18.412879 , 0 , 0 , 6 , 5
76 , 2023-07-05 11:45:20.640527 , 0 , 0 , 6 , 5
77 , 2023-07-05 11:45:22.860307 , 0 , 0 , 6 , 5
78 , 2023-07-05 11:45:25.069289 , 0 , 0 , 6 , 5
79 , 2023-07-05 11:45:27.284840 , 0 , 0 , 6 , 5
80 , 2023-07-05 11:45:29.494583 , 0 , 0 , 6 , 5
81 , 2023-07-05 11:45:31.723365 , 0 , 0 , 6 , 5
82 , 2023-07-05 11:45:33.971463 , 0 , 0 , 6 , 5
83 , 2023-07-05 11:45:36.196237 , 2 , 0 , 8 , 5
84 , 2023-07-05 11:45:38.414017 , 0 , 0 , 8 , 5
85 , 2023-07-05 11:45:40.636231 , 0 , 0 , 8 , 5
86 , 2023-07-05 11:45:42.901543 , 0 , 0 , 8 , 5
87 , 2023-07-05 11:45:45.164298 , 1 , 0 , 9 , 5
88 , 2023-07-05 11:45:47.449620 , 1 , 0 , 10 , 5
89 , 2023-07-05 11:45:49.700713 , 0 , 1 , 10 , 6
90 , 2023-07-05 11:45:52.064050 , 1 , 1 , 11 , 7
91 , 2023-07-05 11:45:54.345686 , 0 , 1 , 11 , 8
92 , 2023-07-05 11:45:56.607115 , 0 , 1 , 11 , 9
93 , 2023-07-05 11:45:58.862380 , 0 , 0 , 11 , 9
94 , 2023-07-05 11:46:01.118624 , 0 , 0 , 11 , 9
95 , 2023-07-05 11:46:03.337297 , 0 , 0 , 11 , 9
96 , 2023-07-05 11:46:05.566112 , 0 , 0 , 11 , 9
97 , 2023-07-05 11:46:07.791083 , 0 , 0 , 11 , 9
98 , 2023-07-05 11:46:10.029403 , 0 , 0 , 11 , 9
99 , 2023-07-05 11:46:12.309712 , 0 , 1 , 11 , 10
100 , 2023-07-05 11:46:14.566481 , 0 , 0 , 11 , 10
101 , 2023-07-05 11:46:16.818168 , 0 , 0 , 11 , 10
102 , 2023-07-05 11:46:19.110388 , 1 , 0 , 12 , 10
103 , 2023-07-05 11:46:21.385333 , 0 , 0 , 12 , 10
104 , 2023-07-05 11:46:23.617462 , 0 , 1 , 12 , 11
105 , 2023-07-05 11:46:25.841456 , 0 , 1 , 12 , 12
106 , 2023-07-05 11:46:28.166894 , 0 , 1 , 12 , 13
107 , 2023-07-05 11:46:30.460059 , 0 , 0 , 12 , 13
108 , 2023-07-05 11:46:32.707045 , 0 , 0 , 12 , 13
109 , 2023-07-05 11:46:34.953230 , 0 , 0 , 12 , 13
110 , 2023-07-05 11:46:37.227357 , 1 , 0 , 13 , 13
111 , 2023-07-05 11:46:39.510914 , 1 , 0 , 14 , 13
112 , 2023-07-05 11:46:41.798400 , 0 , 0 , 14 , 13
113 , 2023-07-05 11:46:44.058125 , 0 , 0 , 14 , 13
114 , 2023-07-05 11:46:46.269585 , 0 , 0 , 14 , 13
115 , 2023-07-05 11:46:48.512022 , 0 , 0 , 14 , 13
116 , 2023-07-05 11:46:50.755597 , 0 , 0 , 14 , 13
117 , 2023-07-05 11:46:52.991099 , 0 , 0 , 14 , 13
118 , 2023-07-05 11:46:55.223383 , 0 , 0 , 14 , 13
