sec , time , count(in)(line0) , count(out)(line0) , total_count(in)(line0) , total_count(out)(line0)
0 , 2023-07-25 12:35:39.443832 , 0 , 0 , 0 , 0
1 , 2023-07-25 12:35:44.011079 , 0 , 0 , 0 , 0
2 , 2023-07-25 12:35:47.765678 , 0 , 0 , 0 , 0
3 , 2023-07-25 12:35:51.455792 , 0 , 0 , 0 , 0
4 , 2023-07-25 12:35:55.137958 , 0 , 0 , 0 , 0
5 , 2023-07-25 12:35:58.828481 , 0 , 0 , 0 , 0
6 , 2023-07-25 12:36:02.538928 , 0 , 0 , 0 , 0
7 , 2023-07-25 12:36:06.224821 , 0 , 0 , 0 , 0
8 , 2023-07-25 12:36:09.947836 , 0 , 0 , 0 , 0
9 , 2023-07-25 12:36:13.643953 , 0 , 0 , 0 , 0
10 , 2023-07-25 12:36:17.379389 , 0 , 0 , 0 , 0
11 , 2023-07-25 12:36:21.085403 , 0 , 0 , 0 , 0
12 , 2023-07-25 12:36:24.813709 , 0 , 0 , 0 , 0
13 , 2023-07-25 12:36:28.542434 , 0 , 0 , 0 , 0
14 , 2023-07-25 12:36:32.280195 , 0 , 0 , 0 , 0
15 , 2023-07-25 12:36:35.989396 , 0 , 0 , 0 , 0
16 , 2023-07-25 12:36:39.719820 , 0 , 0 , 0 , 0
17 , 2023-07-25 12:36:43.442114 , 0 , 0 , 0 , 0
18 , 2023-07-25 12:36:47.145024 , 0 , 0 , 0 , 0
19 , 2023-07-25 12:36:50.852756 , 0 , 0 , 0 , 0
20 , 2023-07-25 12:36:54.559920 , 0 , 0 , 0 , 0
21 , 2023-07-25 12:36:58.281767 , 0 , 0 , 0 , 0
22 , 2023-07-25 12:37:02.015063 , 0 , 0 , 0 , 0
23 , 2023-07-25 12:37:05.738320 , 0 , 0 , 0 , 0
24 , 2023-07-25 12:37:09.531879 , 0 , 0 , 0 , 0
25 , 2023-07-25 12:37:13.253012 , 0 , 0 , 0 , 0
26 , 2023-07-25 12:37:17.012762 , 0 , 0 , 0 , 0
27 , 2023-07-25 12:37:20.759202 , 0 , 0 , 0 , 0
28 , 2023-07-25 12:37:24.490622 , 0 , 0 , 0 , 0
29 , 2023-07-25 12:37:28.272303 , 0 , 0 , 0 , 0
30 , 2023-07-25 12:37:32.060214 , 0 , 0 , 0 , 0
31 , 2023-07-25 12:37:35.868748 , 1 , 0 , 1 , 0
32 , 2023-07-25 12:37:39.700014 , 0 , 0 , 1 , 0
33 , 2023-07-25 12:37:43.565181 , 0 , 0 , 1 , 0
34 , 2023-07-25 12:37:47.424830 , 0 , 0 , 1 , 0
35 , 2023-07-25 12:37:51.202291 , 0 , 0 , 1 , 0
36 , 2023-07-25 12:37:55.002557 , 1 , 0 , 2 , 0
37 , 2023-07-25 12:37:58.849312 , 0 , 0 , 2 , 0
38 , 2023-07-25 12:38:02.677187 , 0 , 0 , 2 , 0
39 , 2023-07-25 12:38:06.450578 , 0 , 0 , 2 , 0
